query,expected_domain
Explain recursion in Python,computer programming
What is dynamic programming?,computer programming
Implement binary search in C++,computer programming
Difference between stack and queue,computer programming
Explain object oriented programming,computer programming
What is a linked list?,computer programming
How does a hash table work?,computer programming
Explain multithreading in Java,computer programming
What is time complexity?,computer programming
Difference between SQL and NoSQL,computer programming

What are symptoms of diabetes?,medical healthcare
How is hypertension treated?,medical healthcare
Explain insulin resistance,medical healthcare
What causes asthma?,medical healthcare
Symptoms of dengue fever,medical healthcare
How does the human heart work?,medical healthcare
What is blood pressure?,medical healthcare
Explain kidney failure,medical healthcare
How is malaria diagnosed?,medical healthcare
What are the causes of obesity?,medical healthcare

What is breach of contract?,legal law
Explain constitutional law,legal law
What is intellectual property?,legal law
Difference between civil and criminal law,legal law
What is a legal notice?,legal law
Explain consumer protection law,legal law
What is a lawsuit?,legal law
What are fundamental rights?,legal law
Explain contract law basics,legal law
What is cyber law?,legal law

Solve x^2 + 5x + 6 = 0,mathematics
What is Bayes theorem?,mathematics
Explain Pythagorean theorem,mathematics
How do matrices work?,mathematics
What is integration in calculus?,mathematics

Why do earthquakes occur?,science
Explain photosynthesis,science
How do black holes form?,science
What causes climate change?,science
What is Newton's second law?,science

How does compound interest work?,business finance
What is a stock market index?,business finance
Explain inflation,business finance
What is mutual fund investing?,business finance
Difference between revenue and profit,business finance

Who invented the telephone?,general knowledge
What is the capital of Japan?,general knowledge
Who was Albert Einstein?,general knowledge
What is the tallest mountain?,general knowledge
When did World War II end?,general knowledge
