query,domain,complexity,complexity_score,latency,load,route,processing_time
Explain recursion in Python,software engineering and programming,low,4,79,28,device,129
What is dynamic programming?,software engineering and programming,low,4,103,66,device,153
Implement binary search in C++,software engineering and programming,low,5,385,34,device,435
Difference between stack and queue,software engineering and programming,low,5,215,79,device,265
Explain object oriented programming,software engineering and programming,low,4,207,94,cloud,407
What is a linked list?,law and legal matters,low,5,479,38,device,529
How does a hash table work?,mathematics and statistics,low,6,441,30,device,491
Explain multithreading in Java,software engineering and programming,low,4,211,100,cloud,411
What is time complexity?,general trivia and history,low,4,142,56,device,192
Difference between SQL and NoSQL,software engineering and programming,low,5,103,53,device,153
What are symptoms of diabetes?,medicine and healthcare,low,5,382,16,device,432
How is hypertension treated?,medicine and healthcare,low,4,431,10,device,481
Explain insulin resistance,medicine and healthcare,low,3,277,42,device,327
What causes asthma?,medicine and healthcare,low,3,369,31,device,419
Symptoms of dengue fever,medicine and healthcare,low,4,491,24,device,541
How does the human heart work?,medicine and healthcare,low,6,413,34,device,463
What is blood pressure?,medicine and healthcare,low,4,407,79,device,457
Explain kidney failure,medicine and healthcare,low,3,264,76,device,314
How is malaria diagnosed?,medicine and healthcare,low,4,151,77,device,201
What are the causes of obesity?,medicine and healthcare,low,6,262,100,cloud,462
What is breach of contract?,law and legal matters,low,5,451,46,device,501
Explain constitutional law,law and legal matters,low,3,299,85,device,349
What is intellectual property?,law and legal matters,low,4,241,81,device,291
Difference between civil and criminal law,law and legal matters,low,6,138,70,device,188
What is a legal notice?,law and legal matters,low,5,422,90,cloud,622
Explain consumer protection law,law and legal matters,low,4,473,22,device,523
What is a lawsuit?,law and legal matters,low,4,371,61,device,421
What are fundamental rights?,law and legal matters,low,4,495,37,device,545
Explain contract law basics,law and legal matters,low,4,123,11,device,173
What is cyber law?,law and legal matters,low,4,390,48,device,440
Solve x^2 + 5x + 6 = 0,mathematics and statistics,low,8,290,97,cloud,490
What is Bayes theorem?,mathematics and statistics,low,4,164,49,device,214
Explain Pythagorean theorem,mathematics and statistics,low,3,337,93,cloud,537
How do matrices work?,mathematics and statistics,low,4,333,90,cloud,533
What is integration in calculus?,mathematics and statistics,low,5,75,56,device,125
Why do earthquakes occur?,natural science and physics,low,4,426,52,device,476
Explain photosynthesis,natural science and physics,low,2,273,80,device,323
How do black holes form?,natural science and physics,low,5,231,89,cloud,431
What causes climate change?,natural science and physics,low,4,205,62,device,255
What is Newton's second law?,law and legal matters,low,5,446,49,device,496
How does compound interest work?,business finance and economics,low,5,320,18,device,370
What is a stock market index?,business finance and economics,low,6,303,70,device,353
Explain inflation,business finance and economics,low,2,452,55,device,502
What is mutual fund investing?,business finance and economics,low,5,448,41,device,498
Difference between revenue and profit,business finance and economics,low,5,150,88,cloud,350
Who invented the telephone?,general trivia and history,low,4,172,77,device,222
What is the capital of Japan?,general trivia and history,low,6,183,78,device,233
Who was Albert Einstein?,natural science and physics,low,4,74,95,cloud,274
What is the tallest mountain?,general trivia and history,low,5,365,65,device,415
When did World War II end?,general trivia and history,low,6,141,100,cloud,341
